,제목
725,"“임금격차, 학력 등 특성보다 기업 규모·성과공유 큰 영향”"
726,"[김현주의 일상 톡톡] ""이대로 가다간 다 죽는다?"" 최저임금 속도 조절론 급부상"
727,김밥+라면도 부담…최저임금에 고삐 풀린 물가 비상
728,소주 6000원·맥주 7000원…최저임금의 역습
729,"정부 ""최저임금 인상후 외식물가 상승세 소폭 확대…감시 강화"""
730,박성택 “최저임금 인상분 납품단가에 반영해야”
731,꼼수와 자구책의 간극…최저임금 인상 현주소
732,작년 임금인상률 반등… 영세업체는 뒷걸음질
733,"알바생 22% 최저임금도 못 받아…""근로계약서 반드시 써야"""
734,"알바생 10명 중 2명 ""법정 최저임금 못 받고 있다"""
735,"[김현주의 일상 톡톡] 영세업자 ""최저임금 인상? 경제적 사형선고에요"""
736,"개선 안되는 임금 격차… 상·하위 10%, 4.5배 차이"
737,"홍종학 ""최저임금 인상 관련해 5조원 지원"""
738,"현대차, 최저임금 충격 2·3차 협력사에 1천500억원 지원"
739,한국 상·하위 10% 임금 격차 4.5배…OECD 2위
740,“점진적 임금인상으로 수요 창출 … 경제 살리고 기업엔 활력”
741,“일자리 안정자금은 고육책… 최저임금 반드시 연착륙 시킬 것”
742,"최저임금 충격 완화…정부, 골목상권 보호 강화한다"
743,"최저임금 때문에 자장면값 1천원 올린다고?…""184원에 불과"""
744,"일하는 노인, 최저임금 올라도 기초연금 계속 받는다"
745,"김동연 ""일자리 안정자금, 고육지책…최저임금 연착륙시킬 것"""
746,"문체부, 최저임금 인상 관련 관광업계 의견 듣는다"
747,삼성 “최저임금 인상 부담 함께 나눠요”
748,"""최저임금 비용 분담하자"" 접한 프랜차이즈 사업자 ""폐업 결정"""
749,中企人들 “최저임금 생각밖에 없다”
750,"정부 ""최저임금 인상분 가맹본부가 분담해라"""
751,“최저임금 부담 완화”… 임대료 인상률 상한·카드 수수료 낮춘다
752,최저임금 반발 소상공인·영세 중기 달래기…정부 패키지 지원
753,김동연 “협력업체 최저임금에 신경써달라”… 정의선 “신사업 20조 투자… 4만5000명 고용”
754,"최저임금 상승으로 인한 하도급업체 부담, 원사업자와 분담"
755,"중기·소상공인, 대통령·여당 만남…최저임금 보완대책 나올까"
756,‘최저임금 위반’ 사업주 명단 공개 논란
757,[김현주의 일상 톡톡] 최저임금 역풍 현실화…을도 아닌 정 알바생들의 눈물
758,최저임금 해결사라는 일자리안정자금…소상공인에겐 그림의 떡
759,“정부내서도 최저임금 문제점 지적해야”
760,"""최저임금 인상에 대한 정부의 막연한 기대 옳지 않다"""
761,"홍종학, 이틀째 최저임금 현장 방문…""필요한 소상공인 꼭 지원"""
762,"홍종학 장관 ""최저임금 인상, 중장기적으로 해결된다"""
763,"김동연 ""최저임금, 인간다운 삶 위한 것""…장관들 한 목소리"
764,"김동연 ""12월 서비스업 고용부진 최저임금 효과 아니다"""
765,"정부 ""김밥·치킨·햄버거 최저임금 편승인상 특별물가조사"""
766,최저임금 여파…편의점 신규 개점 줄고 폐점 늘었다
767,납품·유통업체 최저임금 인상분 공동 부담…실효성은?
768,최저임금 상승의 역설…아파트경비원 실직 잇따라
769,"""최저임금 오르니 꼼수 봇물""…""상여금 줄고 휴식 늘리고"""
770,최저임금의 역습… 치킨값까지 들썩
771,[2018 韓 직장인의 애환-상] 최저임금 7530원 놓고 고용주vs근로자 동상이몽…왜?
772,최저임금 보완대책…인건비 부담·가격인상 잡을까
773,"김동연 ""최저임금 인상으로 어렵다고 종업원 해고 안 돼"""
774,최저임금 역풍 맞을라…정부도 알바생도 노심초사
775,"""최저임금 연착륙 위해 일자리 안정자금 최우선 추진"""
776,연초부터 ‘오른다’…최저임금 탓? 물가 다시 ‘꿈틀’
777,"알바생 10명중 7명 ""최저임금 인상으로 구직난 걱정"""
778,[이코노 브리핑] 한국GM 노사 임금협상 잠정 합의 외
